geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0014070	response to organic cyclic compound	http://amigo.geneontology.org/amigo/term/GO:0014070	0.5939186160145579	1.660084802947116	0.008810572667818121	0.5629292422395871	32	./Project_wg_result1652780616_GSEA/GO_0014070.png	10	841047;816648;831863;827903;839438;824308;829164;842613;835343;830354	AT1G03670;AT1G44830;AT1G63100;AT2G21130;AT3G51450;AT4G01280;AT4G30410;AT5G03350;AT5G04760;AT5G52660
GO:0035690	cellular response to drug	http://amigo.geneontology.org/amigo/term/GO:0035690	0.7104000064816585	1.5951857157867897	0.017505470421213414	0.7502162640093675	14	./Project_wg_result1652780616_GSEA/GO_0035690.png	5	841047;822112;844014;831863;839438	AT1G03670;AT1G44830;AT1G76800;AT3G25190;AT5G03350
GO:0009611	response to wounding	http://amigo.geneontology.org/amigo/term/GO:0009611	0.6902278985053737	1.6962654521763685	0.013793103416567578	0.7519965588931106	20	./Project_wg_result1652780616_GSEA/GO_0009611.png	5	841047;826631;818046;824308;827125	AT1G44830;AT2G34810;AT3G51450;AT4G10390;AT4G14720
GO:0060249	anatomical structure homeostasis	http://amigo.geneontology.org/amigo/term/GO:0060249	-0.7201273201629436	-1.4908321297208373	0.05291970793262827	0.7989330068217597	10	./Project_wg_result1652780616_GSEA/GO_0060249.png	3	832993;824332;841684	AT1G52530;AT3G51690;AT5G28780
GO:0042430	indole-containing compound metabolic process	http://amigo.geneontology.org/amigo/term/GO:0042430	-0.8502048962229029	-1.641149197340089	0.0036231883992333546	0.9143256952947352	8	./Project_wg_result1652780616_GSEA/GO_0042430.png	2	841032;2746023	AT1G44542;AT5G28237
GO:0044092	negative regulation of molecular function	http://amigo.geneontology.org/amigo/term/GO:0044092	-0.49602078933852634	-1.584978555013862	0.0018018017985553122	0.9157425223019067	88	./Project_wg_result1652780616_GSEA/GO_0044092.png	30	837319;831836;819380;820241;837459;843537;837612;841559;842704;823894;818471;826705;834044;825927;838078;823892;830379;820471;838054;817184;819587;834743;7922364;842062;835725;832197;814690;819588;842513;837620	AT1G02810;AT1G08035;AT1G09370;AT1G10690;AT1G10770;AT1G14890;AT1G51355;AT1G56100;AT1G62170;AT1G64010;AT1G72060;AT2G01610;AT2G26440;AT2G38870;AT2G47670;AT3G04320;AT3G04330;AT3G10720;AT3G12880;AT3G47380;AT3G47400;AT4G00872;AT4G05590;AT4G11040;AT5G02420;AT5G04970;AT5G20740;AT5G40460;AT5G46970;AT5G56260
GO:0007264	small GTPase mediated signal transduction	http://amigo.geneontology.org/amigo/term/GO:0007264	-0.8616062945847763	-1.4940876731628518	0.024482109181766274	0.9305719783103027	5	./Project_wg_result1652780616_GSEA/GO_0007264.png	1	837759	AT1G12070
GO:0048507	meristem development	http://amigo.geneontology.org/amigo/term/GO:0048507	-0.6159136818725851	-1.5146304356310338	0.029982363262817703	0.9556498163372399	21	./Project_wg_result1652780616_GSEA/GO_0048507.png	3	820036;822011;832197	AT3G08880;AT3G24240;AT5G20740
GO:0009753	response to jasmonic acid	http://amigo.geneontology.org/amigo/term/GO:0009753	0.6186822698100137	1.4645500187179004	0.061926605362553656	0.9885214505904161	16	./Project_wg_result1652780616_GSEA/GO_0009753.png	5	818046;827903;824308;827125;835343	AT2G34810;AT3G51450;AT4G01280;AT4G14720;AT5G52660
GO:0043631	RNA polyadenylation	http://amigo.geneontology.org/amigo/term/GO:0043631	0.2084083959449289	0.3912512686956872	0.9978354956756808	0.9991110473869095	6	./Project_wg_result1652780616_GSEA/GO_0043631.png	2	834382;828660	AT4G25550;AT5G43620
GO:0046434	organophosphate catabolic process	http://amigo.geneontology.org/amigo/term/GO:0046434	-0.1886634558945384	-0.3939338538704283	0.9981981963996429	0.9991837210658271	11	./Project_wg_result1652780616_GSEA/GO_0046434.png	1	819560	AT3G04050
GO:0010038	response to metal ion	http://amigo.geneontology.org/amigo/term/GO:0010038	0.46638166226939964	1.4756983415899596	0.011933174195863545	1	72	./Project_wg_result1652780616_GSEA/GO_0010038.png	25	822112;825776;821064;844014;828467;827903;819011;818157;830769;837953;825272;835656;835343;836543;835258;834283;836634;843823;841557;819963;836704;827452;836138;830525;834786	AT1G13930;AT1G51340;AT1G74840;AT1G76800;AT2G35840;AT2G44060;AT3G03170;AT3G07720;AT3G25190;AT3G61010;AT4G01280;AT4G04460;AT4G17410;AT4G23670;AT5G06370;AT5G08680;AT5G42740;AT5G47390;AT5G51830;AT5G52660;AT5G55620;AT5G60160;AT5G64220;AT5G65100;AT5G65750
GO:0032200	telomere organization	http://amigo.geneontology.org/amigo/term/GO:0032200	-0.7796692817070197	-1.5164278780091147	0.03171641785127534	1	8	./Project_wg_result1652780616_GSEA/GO_0032200.png	3	832993;824332;841684	AT1G52530;AT3G51690;AT5G28780
GO:0051235	maintenance of location	http://amigo.geneontology.org/amigo/term/GO:0051235	0.5872667267684332	1.5073020617214563	0.036170212688999545	1	22	./Project_wg_result1652780616_GSEA/GO_0051235.png	10	822112;844014;843909;822107;817130;823468;828898;825272;837053;841226	AT1G05510;AT1G48090;AT1G75760;AT1G76800;AT2G25890;AT3G25160;AT3G25190;AT3G43660;AT3G61010;AT4G27850
GO:0006109	regulation of carbohydrate metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006109	0.7330987063299939	1.4748690558926396	0.07439824929015701	1	8	./Project_wg_result1652780616_GSEA/GO_0006109.png	1	841047	AT1G44830
GO:0009733	response to auxin	http://amigo.geneontology.org/amigo/term/GO:0009733	-0.4374952781891965	-1.3016354520288944	0.08600337253625064	1	57	./Project_wg_result1652780616_GSEA/GO_0009733.png	22	830041;28719402;844441;830966;835148;820145;825240;821852;825363;819281;820612;816256;827989;838635;832205;839821;843575;28717322;830039;818193;829633;839826	AT1G20470;AT1G29450;AT1G29490;AT1G43040;AT1G64625;AT1G72430;AT2G17500;AT2G36210;AT2G46690;AT3G09870;AT3G13980;AT3G22810;AT3G53250;AT3G60690;AT3G61900;AT4G00880;AT4G34810;AT4G38840;AT4G38860;AT5G10990;AT5G20820;AT5G50760
GO:0030162	regulation of proteolysis	http://amigo.geneontology.org/amigo/term/GO:0030162	-0.504768903302272	-1.3370541865160186	0.0956678698634154	1	30	./Project_wg_result1652780616_GSEA/GO_0030162.png	8	843537;842704;818471;819587;823695;823486;819588;842513	AT1G62170;AT1G64010;AT1G72060;AT2G38870;AT3G04320;AT3G04330;AT3G43750;AT3G45540
GO:0006520	cellular amino acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006520	-0.4027999804866856	-1.2598640286011795	0.09764918608020039	1	79	./Project_wg_result1652780616_GSEA/GO_0006520.png	6	817952;841032;832092;2746023;828958;818078	AT1G44542;AT2G33840;AT2G35120;AT4G28410;AT5G19720;AT5G28237
GO:0048878	chemical homeostasis	http://amigo.geneontology.org/amigo/term/GO:0048878	0.45620566763433673	1.2810178221139132	0.11087866085590238	1	41	./Project_wg_result1652780616_GSEA/GO_0048878.png	13	836256;822112;844014;823468;828898;835819;826373;843186;823632;841755;837971;825272;842137	AT1G14120;AT1G53210;AT1G57610;AT1G68570;AT1G76800;AT3G25190;AT3G43660;AT3G44970;AT3G61010;AT4G08230;AT4G27850;AT5G57130;AT5G61350
GO:0019725	cellular homeostasis	http://amigo.geneontology.org/amigo/term/GO:0019725	0.40729892095460485	1.2680012546790418	0.1118012420045523	1	63	./Project_wg_result1652780616_GSEA/GO_0019725.png	12	836256;822112;844014;823468;828898;817603;826373;841755;827307;825272;825471;842137	AT1G53210;AT1G57610;AT1G76800;AT2G30540;AT3G25190;AT3G43660;AT3G61010;AT3G62960;AT4G08230;AT4G16155;AT4G27850;AT5G61350
